OrderLineID,OrderID,ProductID,Quantity,UnitPrice,Discount,StandardCost,LineRevenue,LineCost,LineMargin
1,10000,53,4,762.69,0.0,545.0,3050.76,2180.0,870.7600000000002
2,10000,118,3,215.44,0.0,121.17,646.3199999999999,363.51,282.8099999999999
3,10000,29,2,78.22,0.0,57.65,156.44,115.3,41.14
4,10000,15,1,464.38,0.0,357.49,464.38,357.49,106.89
5,10001,12,1,267.01,0.0,178.83,267.01,178.83,88.17999999999998
6,10001,66,2,331.6,0.0,253.36,663.2,506.72,156.48
7,10002,50,2,27.17,0.0,20.12,54.34,40.24,14.1
8,10002,79,2,769.25,0.0,404.92,1538.5,809.84,728.66
9,10002,95,2,468.42,0%,320.14,936.84,640.28,296.5600000000001
10,10003,21,2,123.88,0.0,77.61,247.76,155.22,92.53999999999999
11,10004,65,3,14.7,0.0,9.14,44.09999999999999,27.42,16.67999999999999
12,10004,27,2,1080.55,0.0,564.0,2161.1,1128.0,1033.1
13,10005,54,1,449.63,0.0,249.18,449.63,249.18,200.45
14,10005,6,2,34.08,0.0,17.25,68.16,34.5,33.66
15,10005,66,1,349.05,0.0,253.36,349.05,253.36,95.69
16,10005,107,1,542.0,0.0,392.92,542.0,392.92,149.08
17,10006,17,1,81.35,0.0,43.71,81.35,43.71,37.63999999999999
18,10006,12,4,267.01,0.15,178.83,907.834,715.32,192.5139999999999
19,10006,26,2,1059.12,0.2,581.9,1694.592,1163.8,530.7919999999999
20,10006,37,4,15.36,0.1,8.29,55.296,33.16,22.136
21,10007,57,1,1030.66,0.2,558.17,824.5280000000001,558.17,266.3580000000002
22,10007,1,1,424.38,0.15,227.85,360.723,227.85,132.873
23,10007,30,4,46.6,0.15,31.91,158.44,127.64,30.8
24,10008,110,2,772.62,0.0,391.53,1545.24,783.06,762.1800000000001
25,10008,37,3,14.59,0.0,8.29,43.77,24.87,18.9
26,10008,114,2,840.14,0.0,583.94,1680.28,1167.88,512.3999999999999
27,10008,15,1,442.27,0.0,357.49,442.27,357.49,84.77999999999997
28,10009,54,2,449.63,0.0,249.18,899.26,498.36,400.9
29,10010,119,3,199.33,0.0,172.06,597.99,516.1800000000001,81.80999999999995
